Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Total_Page_Events,Total_Duration,Avg_Page_Duration,Pages_per_Session,Product_Time_x_Count,Administrative_log,Informational_log,ProductRelated_log,PageValues_log,ExitRates_log,BounceRates_log,Total_Duration_log,Pages_per_Session_log
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,0,0,1.000001,1e-06,9.99999000001e-07,1.000001,0.0,0.0,0.0,0.6931471805599453,0.0,0.18232155679395465,0.18232155679395465,9.999995000003334e-07,0.6931476805598202
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,Feb,2,2,1,2,Returning_Visitor,0,0,2.000001,64.000001,31.999984500007745,2.000001,128.0,0.0,0.0,1.0986122886681098,0.0,0.09531017980432487,0.0,4.174387285280252,1.0986126220013874
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,4,1,9,3,Returning_Visitor,0,0,1.000001,1e-06,9.99999000001e-07,1.000001,0.0,0.0,0.0,0.6931471805599453,0.0,0.18232155679395465,0.18232155679395465,9.999995000003334e-07,0.6931476805598202
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,Feb,3,2,2,4,Returning_Visitor,0,0,2.000001,2.666667667,1.3333331668334165,2.000001,5.333333334,0.0,0.0,1.0986122886681098,0.0,0.13102826240640408,0.048790164169432,1.2992832569484054,1.0986126220013874
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,Feb,3,3,1,4,Returning_Visitor,1,0,10.000001,627.500001,62.74999382500062,10.000001,6275.0,0.0,0.0,2.3978952727983707,0.0,0.048790164169432,0.019802627296179712,6.443336029621392,2.397895363707457
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,0,0,19.000001,154.2166677,8.116666293859668,19.000001,2930.1166673,0.0,0.0,2.995732273553991,0.0,0.024264622479083276,0.01566611705528024,5.044821996956918,2.9957323235539897
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,Feb,2,4,3,3,Returning_Visitor,0,0,1.000001,1e-06,9.99999000001e-07,1.000001,0.0,0.0,0.0,0.6931471805599453,0.0,0.18232155679395465,0.18232155679395465,9.999995000003334e-07,0.6931476805598202
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,Feb,1,2,1,5,Returning_Visitor,1,0,1.000001,1e-06,9.99999000001e-07,1.000001,0.0,0.6931471805599453,0.0,0.0,0.0,0.18232155679395465,0.18232155679395465,9.999995000003334e-07,0.6931476805598202
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,Feb,2,2,2,3,Returning_Visitor,0,0,2.000001,37.000001,18.499991250004374,2.000001,74.0,0.0,0.0,1.0986122886681098,0.0,0.09531017980432487,0.0,3.6375861860421748,1.0986126220013874
0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,0,0,3.000001,738.000001,245.99991833336054,3.000001,2214.0,0.0,0.0,1.3862943611198906,0.0,0.021978906501383937,0.0,6.605297922301382,1.3862946111198593
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,0,0,3.000001,395.000001,131.66662311112563,3.000001,1185.0,0.0,0.0,1.3862943611198906,0.0,0.06453852145007118,0.0,5.9814142137797335,1.3862946111198593
0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,Feb,1,1,4,3,Returning_Visitor,0,0,16.000001,407.750001,25.484373469726656,16.000001,6524.0,0.0,0.0,2.833213344056216,0.0,0.025505290083422758,0.01857638557293541,6.013103724657946,2.833213402879744
